neighbourhood;neighbourhood_group;longitude;latitude
Palacio;Centro;-3.713981305934884;40.41542813957815
Embajadores;Centro;-3.702371641478595;40.40924739523177
Cortes;Centro;-3.6967401935970057;40.41485329902773
Justicia;Centro;-3.696569286772904;40.4236676354555
Universidad;Centro;-3.7069788144872016;40.42567834546141
Sol;Centro;-3.704462725129166;40.41732067395507
Imperial;Arganzuela;-3.7182692939262676;40.40619860546602
Acacias;Arganzuela;-3.7071663117765565;40.40107611530032
Chopera;Arganzuela;-3.6989800251296083;40.39477005171291
Legazpi;Arganzuela;-3.687060895243508;40.388845512193214
Delicias;Arganzuela;-3.6898646966327404;40.39674273523607
Palos de Moguer;Arganzuela;-3.6945896373244795;40.403519704223754
Atocha;Arganzuela;-3.68185388833621;40.3997106367066
Pacífico;Retiro;-3.6786387363233;40.40436452923719
Adelfas;Retiro;-3.670882694025923;40.401125755089495
Estrella;Retiro;-3.665440274640526;40.41409640267246
Ibiza;Retiro;-3.674244028679829;40.41888750824856
Jerónimos;Retiro;-3.6850514182640266;40.413757394690066
Niño Jesús;Retiro;-3.6733369357533623;40.411616952318
Recoletos;Salamanca;-3.6857336566896275;40.42460926005072
Goya;Salamanca;-3.6743303732626806;40.42505631445714
Fuente del Berro;Salamanca;-3.663702777445319;40.42478619924381
Guindalera;Salamanca;-3.666488166040312;40.43634426231069
Lista;Salamanca;-3.6757362381828846;40.432026325500445
Castellana;Salamanca;-3.6841988084805526;40.43356433691551
El Viso;Chamartín;-3.6846958682850754;40.444878552766404
Prosperidad;Chamartín;-3.6692010004481617;40.44422894275139
Pavones;Moratalaz;-3.6320391379393007;40.39853424199281
Ciudad Jardín;Chamartín;-3.672913374224905;40.44830691931449
Hispanoamérica;Chamartín;-3.6770172003504675;40.455375021727384
Nueva España;Chamartín;-3.678037380532159;40.462773009139426
Castilla;Chamartín;-3.6796301092386843;40.474323436640894
Bellas Vistas;Tetuán;-3.7075440502015278;40.45245603966119
Cuatro Caminos;Tetuán;-3.696939132170599;40.451526228691534
Castillejos;Tetuán;-3.6940432345966845;40.46042079509554
Vallehermoso;Chamberí;-3.7111538163150395;40.44290129986384
El Pardo;Fuencarral - El Pardo;-3.76736190446063;40.55290559722909
Almenara;Tetuán;-3.6942194507339727;40.47066809028082
Valdeacederas;Tetuán;-3.704066713347017;40.46702887096284
Berruguete;Tetuán;-3.704864531804435;40.4596313186626
Gaztambide;Chamberí;-3.714516760473939;40.43499388589259
Arapiles;Chamberí;-3.7079354802053928;40.434413909298506
Trafalgar;Chamberí;-3.7010422006778407;40.432860430748256
Almagro;Chamberí;-3.693449342202235;40.43286029975425
Rios Rosas;Chamberí;-3.6976405129811405;40.442403078061545
Fuentelareina;Fuencarral - El Pardo;-3.7416955811182655;40.48111516152177
Peñagrande;Fuencarral - El Pardo;-3.7257121304511456;40.47879207317743
Argüelles;Moncloa - Aravaca;-3.717755575353489;40.428220146316264
Pilar;Fuencarral - El Pardo;-3.709499915895389;40.47714856743674
La Paz;Fuencarral - El Pardo;-3.6965042578077982;40.481165868112264
Valdezarza;Moncloa - Aravaca;-3.717211344594043;40.46526211145645
Valverde;Fuencarral - El Pardo;-3.678684596394806;40.50024667578812
Casa de Campo;Moncloa - Aravaca;-3.7529608642205097;40.4236367981651
Mirasierra;Fuencarral - El Pardo;-3.7194840345210367;40.49631977046887
El Goloso;Fuencarral - El Pardo;-3.699917039948405;40.53439531039746
Horcajo;Moratalaz;-3.626857187261882;40.40858328833565
Ciudad Universitaria;Moncloa - Aravaca;-3.738304115522118;40.4559580910346
Numancia;Puente de Vallecas;-3.6584402615422125;40.39950576322125
Valdemarín;Moncloa - Aravaca;-3.7788235321143357;40.46814316724977
El Plantío;Moncloa - Aravaca;-3.8208297431215423;40.469755417818725
Aravaca;Moncloa - Aravaca;-3.7789957813600648;40.45468220387021
Cármenes;Latina;-3.735839040419913;40.401495373087684
Puerta del Angel;Latina;-3.731713830756587;40.40969786374444
Lucero;Latina;-3.750254552850283;40.402303300168114
Aluche;Latina;-3.7566004069360357;40.391920956444906
San Isidro;Carabanchel;-3.728242541901987;40.3966058805868
Campamento;Latina;-3.80355992731769;40.38515634007704
Cuatro Vientos;Latina;-3.783955738838749;40.36869612430349
Aguilas;Latina;-3.7709964395737137;40.381810563945436
Comillas;Carabanchel;-3.7118731934564537;40.393510898112815
Opañel;Carabanchel;-3.721687179623202;40.390237403803106
Vista Alegre;Carabanchel;-3.745662115324329;40.38432904336821
Puerta Bonita;Carabanchel;-3.738995407881679;40.379671566654274
Buenavista;Carabanchel;-3.7459880272311454;40.3671048652914
Abrantes;Carabanchel;-3.7260751798453;40.378986564166915
Orcasitas;Usera;-3.7123267600806775;40.36863958906092
Orcasur;Usera;-3.6980614608934257;40.37221968070185
San Fermín;Usera;-3.689030034810332;40.37059942279805
Almendrales;Usera;-3.699221921516558;40.38369151986591
Moscardó;Usera;-3.7067258281349713;40.38900798234397
Zofío;Usera;-3.715224622063293;40.37937929050376
Pradolongo;Usera;-3.70702930245156;40.37815257845541
Portazgo;Puente de Vallecas;-3.6481503860796947;40.39062308693208
Entrevías;Puente de Vallecas;-3.6730677859954364;40.37478831320692
San Diego;Puente de Vallecas;-3.66777734681123;40.39003986151459
Palomeras Bajas;Puente de Vallecas;-3.6587901789836494;40.38476822936748
Palomeras Sureste;Puente de Vallecas;-3.63716541530758;40.38525105511378
Marroquina;Moratalaz;-3.6405210448044625;40.410745167728095
Media Legua;Moratalaz;-3.656729326797063;40.41190491012393
Fontarrón;Moratalaz;-3.64668453716032;40.4014253649656
Vinateros;Moratalaz;-3.642397358072712;40.405264579259864
Ventas;Ciudad Lineal;-3.6473166421065355;40.42248599618065
Pueblo Nuevo;Ciudad Lineal;-3.6353736947971416;40.42630103878345
Quintana;Ciudad Lineal;-3.6449759347696884;40.43702268147121
Concepción;Ciudad Lineal;-3.6491906123696807;40.439326893125674
San Pascual;Ciudad Lineal;-3.6533725667521706;40.442873624324
San Juan Bautista;Ciudad Lineal;-3.656270178137482;40.450702147257246
Colina;Ciudad Lineal;-3.660218603177414;40.45805693929081
Atalaya;Ciudad Lineal;-3.664852171140944;40.464281246009
Costillares;Ciudad Lineal;-3.668426988677229;40.47666290925717
Palomas;Hortaleza;-3.615448283084123;40.452521644628796
Piovera;Hortaleza;-3.6349963279769355;40.455726323014396
Canillas;Hortaleza;-3.643663441309069;40.46378992302551
Pinar del Rey;Hortaleza;-3.6469975709731632;40.47241179908664
Apostol Santiago;Hortaleza;-3.6593269574396334;40.47641314972972
San Andrés;Villaverde;-3.7088638821128375;40.34146380982527
San Cristobal;Villaverde;-3.6883373387564675;40.34077687551505
Valdefuentes;Hortaleza;-3.6358068409564193;40.493679486724
Butarque;Villaverde;-3.6762110880363177;40.33719642142769
Los Rosales;Villaverde;-3.6884572162057765;40.355730105890416
Los Angeles;Villaverde;-3.6990459241250644;40.355801279822565
Casco Histórico de Vallecas;Villa de Vallecas;-3.6161172717699346;40.34853097431632
Santa Eugenia;Villa de Vallecas;-3.611255917216908;40.383446321295615
Casco Histórico de Vicálvaro;Vicálvaro;-3.570055705381642;40.39242436782238
Ambroz;Vicálvaro;-3.6081716236242105;40.4091745382885
Simancas;San Blas - Canillejas;-3.6250119499346307;40.43533790890416
Hellín;San Blas - Canillejas;-3.6167326034035057;40.43095736286411
Amposta;San Blas - Canillejas;-3.621948145413067;40.426143741867456
Arcos;San Blas - Canillejas;-3.6175042218770743;40.421233593549374
Rosas;San Blas - Canillejas;-3.5941731294582397;40.42752648690123
Rejas;San Blas - Canillejas;-3.570069258990858;40.445104467406274
Canillejas;San Blas - Canillejas;-3.610435943277042;40.443271393369784
Salvador;San Blas - Canillejas;-3.6308760176936654;40.44530131781973
Alameda de Osuna;Barajas;-3.5913484428738185;40.45656248488707
Timón;Barajas;-3.5972290017857653;40.4844139364177
Aeropuerto;Barajas;-3.5584713509431323;40.476127220854856
Casco Histórico de Barajas;Barajas;-3.578891592332234;40.47471110017518
Corralejos;Barajas;-3.6071841507536946;40.464149193397176
